county_fips,cbsa_name,urban_rural_nchs_2013
01001,Montgomery- AL,3
01003,Daphne-Fairhope-Foley- AL,4
01005,,6
01007,Birmingham-Hoover- AL,2
01009,Birmingham-Hoover- AL,2
01011,,6
01013,,6
01015,Anniston-Oxford-Jacksonville- AL,4
01017,Valley- AL,5
01019,,6
01021,Birmingham-Hoover- AL,2
01023,,6
01025,,6
01027,,6
01029,,6
01031,Enterprise- AL,5
01033,Florence-Muscle Shoals- AL,4
01035,,6
01037,Talladega-Sylacauga- AL,5
01039,,6
01041,,6
01043,Cullman- AL,5
01045,Ozark- AL,5
01047,Selma- AL,5
01049,,6
01051,Montgomery- AL,3
01053,,6
01055,Gadsden- AL,4
01057,,6
01059,,6
01061,Dothan- AL,4
01063,,6
01065,Tuscaloosa- AL,4
01067,Dothan- AL,4
01069,Dothan- AL,4
01071,Scottsboro- AL,5
01073,Birmingham-Hoover- AL,1
01075,,6
01077,Florence-Muscle Shoals- AL,4
01079,Decatur- AL,4
01081,Auburn-Opelika- AL,4
01083,Huntsville- AL,3
01085,Montgomery- AL,3
01087,,6
01089,Huntsville- AL,3
01091,,6
01093,,6
01095,Albertville- AL,5
01097,Mobile- AL,3
01099,,6
01101,Montgomery- AL,3
01103,Decatur- AL,4
01105,,6
01107,Tuscaloosa- AL,4
01109,Troy- AL,5
01111,,6
01113,Columbus- GA-AL,3
01115,Birmingham-Hoover- AL,2
01117,Birmingham-Hoover- AL,2
01119,,6
01121,Talladega-Sylacauga- AL,5
01123,,6
01125,Tuscaloosa- AL,4
01127,Birmingham-Hoover- AL,2
01129,,6
01131,,6
01133,,6
02013,,6
02016,,6
02020,Anchorage- AK,3
02050,,6
02060,,6
02068,,6
02070,,6
02090,Fairbanks- AK,4
02100,,6
02105,,6
02110,Juneau- AK,5
02122,,6
02130,Ketchikan- AK,5
02150,,6
02158,,6
02164,,6
02170,Anchorage- AK,3
02180,,6
02185,,6
02188,,6
02195,,6
02198,,6
02201,,6
02220,,6
02230,,6
02232,,6
02240,,6
02261,,6
02270,,6
02275,,6
02280,,6
02282,,6
02290,,6
04001,,6
04003,Sierra Vista-Douglas- AZ,4
04005,Flagstaff- AZ,4
04007,Payson- AZ,5
04009,Safford- AZ,5
04011,,6
04012,,6
04013,Phoenix-Mesa-Scottsdale- AZ,1
04015,Lake Havasu City-Kingman- AZ,4
04017,Show Low- AZ,5
04019,Tucson- AZ,3
04021,Phoenix-Mesa-Scottsdale- AZ,2
04023,Nogales- AZ,5
